lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
,5749,0.4676390290260315,47,,,,,,,,,,,,,,
,5759,,47,0.5922168493270874,17.966327667236328,4.319893836975098,2.237483501434326,11.408949851989746,,,,,,,,,
,5759,,47,,,,,,15.328487396240234,4.398645401000977,2.2716009616851807,8.658241271972656,,,,,
7.149673872728737e-06,5760,,,,,,,,,,,,,,,,
,5799,0.4317493736743927,48,,,,,,,,,,,,,,
,5849,0.4402889013290405,48,,,,,,,,,,,,,,
,5879,,48,0.5900158882141113,18.032787322998047,4.497119903564453,2.259636640548706,11.276030540466309,,,,,,,,,
,5879,,48,,,,,,15.394447326660156,4.510720252990723,2.2773501873016357,8.606377601623535,,,,,
2.539791800302582e-06,5880,,,,,,,,,,,,,,,,
,5899,0.5044388771057129,49,,,,,,,,,,,,,,
,5949,0.4408421218395233,49,,,,,,,,,,,,,,
,5999,0.5339754819869995,49,,,,,,,,,,,,,,
,5999,,49,0.5895510911941528,18.099246978759766,4.585733413696289,2.237483501434326,11.276030540466309,,,,,,,,,
,5999,,49,,,,,,15.096028327941895,4.300956726074219,2.151855230331421,8.643216133117676,,,,,
,6000,,50,0.5922168493270874,17.966327667236328,4.319893836975098,2.237483501434326,11.408949851989746,,,,,,,,,
,6000,,50,,,,,,,,,,0.5703119039535522,18.543333053588867,4.625027179718018,1.383185625076294,12.535120010375977
